,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$1.62,7.28,time-not-supplied,CRM,"Salesforce, Inc.","$240,886,800,000",Oct/2023,$1.51,17,,,2023-11-29,,1.62,1.51
1,$2.26,3.2,time-not-supplied,SNPS,"Synopsys, Inc.","$81,235,570,850",Oct/2023,$2.19,5,,,2023-11-29,,2.26,2.19
3,$0.97,-3.96,time-not-supplied,DLTR,"Dollar Tree, Inc.","$27,613,089,295",Oct/2023,$1.01,12,,,2023-11-29,,0.97,1.01
4,$0.42,-6.67,time-not-supplied,HRL,Hormel Foods Corporation,"$17,416,855,783",Oct/2023,$0.45,5,,,2023-11-29,,0.42,0.45
6,$0.26,13.04,time-not-supplied,FIVE,"Five Below, Inc.","$10,813,919,034",Oct/2023,$0.23,11,,,2023-11-29,,0.26,0.23
7,$0,100,time-not-supplied,NTNX,"Nutanix, Inc.","$10,775,439,736",Oct/2023,($0.11),6,,,2023-11-29,,0,-0.11
8,$0.23,91.67,time-not-supplied,PSTG,"Pure Storage, Inc. ","$10,141,690,567",Oct/2023,$0.12,10,,,2023-11-29,,0.23,0.12
9,$0.75,4.17,time-not-supplied,DCI,"Donaldson Company, Inc.","$7,359,514,390",Oct/2023,$0.72,3,,,2023-11-29,,0.75,0.72
10,$2.90,6.62,time-not-supplied,PVH,PVH Corp.,"$6,426,796,405",Oct/2023,$2.72,9,,,2023-11-29,,2.90,2.72
12,$0,100,time-not-supplied,NCNO,"nCino, Inc.","$3,308,012,077",Oct/2023,($0.02),5,,,2023-11-29,,0,-0.02
14,$0.30,30.43,time-not-supplied,FL,"Foot Locker, Inc.","$2,669,487,228",Oct/2023,$0.23,10,,,2023-11-29,,0.30,0.23
16,$1.15,36.9,time-not-supplied,YY,JOYY Inc.,"$2,627,303,233",Sep/2023,$0.84,1,,,2023-11-29,,1.15,0.84
18,$0.50,-15.25,time-not-supplied,PDCO,"Patterson Companies, Inc.","$2,443,470,570",Oct/2023,$0.59,8,,,2023-11-29,,0.50,0.59
19,$0.59,13.46,time-not-supplied,ROAD,"Construction Partners, Inc.","$2,223,816,716",Sep/2023,$0.52,4,,,2023-11-29,,0.59,0.52
21,$2.77,N/A,time-not-supplied,IMKTA,"Ingles Markets, Incorporated","$1,608,063,872",Sep/2023,,N/A,,,2023-11-29,,2.77,
22,$0.74,19.35,time-not-supplied,LZB,La-Z-Boy Incorporated,"$1,539,634,924",Oct/2023,$0.62,2,,,2023-11-29,,0.74,0.62
26,$0.08,N/A,time-not-supplied,GB,Global Blue Group Holding AG,"$886,046,105",Sep/2023,,N/A,,,2023-11-29,,0.08,
27,$0.04,-42.86,time-not-supplied,NAT,Nordic American Tankers Limited,"$818,496,000",Sep/2023,$0.07,2,,,2023-11-29,,0.04,0.07
28,$0.46,N/A,time-not-supplied,NOAH,Noah Holdings Ltd.,"$794,166,994",Sep/2023,,N/A,,,2023-11-29,,0.46,
31,$0.10,-9.09,time-not-supplied,CNF,CNFinance Holdings Limited,"$144,708,361",Sep/2023,$0.11,1,,,2023-11-29,,0.10,0.11
32,$0.01,N/A,time-not-supplied,TRX,TRX Gold Corporation,"$108,607,024",Aug/2023,$0.01,1,,,2023-11-29,,0.01,0.01
